ingredients,pareto,purchase_unit,type,price,purchase_size,salad_averaeg,veggie_average,count
kyllingefond,False,,meat,,,,,3
chokoladekugler,False,,,,,,,3
potaske,False,,,,,,,3
pastinak,False,,,,,,,3
citronmelisse,False,,,,,,,3
nakkekoteletter,False,,,,,,,3
culottesteg,False,,,,,,,3
grøn peberfrugt,False,,,,,,,3
hjertesalat,False,,,,,,,3
hvid fondant,False,,,,,,,3
fiskefond,False,,,,,,,3
kokossukker,False,,,,,,,3
gingerbeer,False,,,,,,,3
pastaskruer,False,,,,,,,3
dråber pebermynte essens,False,,,,,,,3
kahlua,False,,,,,,,3
saucejævner,False,,,,,,,3
abrikoser,False,,,,,,,3
ribbensteg,False,,,,,,,3
romainesalat,False,,,,,,,3
andebryst,False,,,,,,,3
skinke,False,,meat,,,,,3
noritang,False,,,,,,,3
filodej,False,,,,,,,3
radiser,False,,,,,,,3
tun i olie,False,,,,,,,3
tarteletter,True,stk,short,25.0,10.0,,6.0,2
trøffel,True,g,short,25.0,100.0,,15.0,2
speltkerner,True,g,short,25.0,400.0,,90.0,2
cashewnøddesmør,True,g,short,40.0,100.0,,,2
butternut squash,True,stk,short,25.0,1.0,,0.5,2
frisk tortellini,True,g,short,30.0,250.0,,187.5,2
belugalinser,True,g,short,30.0,400.0,75.0,,2
boghvedekerner,True,g,long,24.0,50.0,,50.0,2
grillspyd af træ,True,g,long,,,,,2
andefedt,False,,,,,,,2
svesker,False,,,,,,,2
hønsebryst,False,,,,,,,2
blandede kagerester,False,,,,,,,2
svinekam,False,,,,,,,2
solsikkeolie,False,,,,,,,2
hyldeblomstskærme,False,,,,,,,2
kirsebærvin,False,,,,,,,2
grønne vindruer,False,,,,,,,2
ølandshvede,False,,,,,,,2
knoldselleri,False,,,,,,,2
and,False,,,,,,,2
hvid portvin,False,,,,,,,2
sorte ris,False,,,,,,,2
karamelcreme,False,,,,,,,2
rabarbersaft,False,,,,,,,2
oreo,False,,,,,,,2
daim,False,,,,,,,2
sichuan peber,False,,,,,,,2
perleløg,False,,,,,,,2
majsmel,False,,,,,,,2
ansjosfileter i olie,False,,,,,,,2
sød finsk lakrids,False,,,,,,,2
svineslag,False,,,,,,,2
kammuslinger,False,,,,,,,2
suppenudler,False,,,,,,,2
kalvebouillon,False,,,,,,,2
boghvedegryn,False,,,,,,,2
kapersbær,False,,,,,,,2
okseinderlår,False,,,,,,,2
kartoffelvand,False,,,,,,,2
dråber kulør,False,,,,,,,2
hasselnøddesmør,False,,,,,,,2
havtorn,False,,,,,,,2
artiskokker,False,,,,,,,2
pulled pork,False,,,,,,,2
ramen nudler,False,,,,,,,2
saltkaramel,False,,,,,,,2
cantaloupe melon,False,,,,,,,2
sort te,False,,,,,,,2
sort fondant,False,,,,,,,2
solbær,False,,,,,,,2
frosne bananer,False,,,,,,,2
hyldebærsaft,False,,,,,,,2
spiseligt sølvstøv,False,,,,,,,2
tun steak (til sushi),False,,,,,,,2
jomfruhummer,False,,,,,,,2
rygeost,False,,,,,,,2
avocadoolie,False,,,,,,,2
geleringsmiddel,False,,,,,,,2
burrata,False,,,,,,,2
hønsefond,False,,,,,,,2
mørk sirup,False,,,,,,,2
pasta orzo,False,,,,,,,2
gul karrypasta,False,,,,,,,2
mangosirup,False,,,,,,,2
usaltede peanuts,False,,,,,,,2
guldglimmer,False,,,,,,,2
ladyfingers,False,,,,,,,2
matcha,False,,,,,,,2
fladbrød,False,,,,,,,2
lammekølle,False,,,,,,,2
koncentereret hindbærsaft,False,,,,,,,2
grape,False,,,,,,,2
kuller,False,,,,,,,2
tørret basilikum,False,,,,,,,2
fiskeben,False,,,,,,,2
tykstegsbøf,False,,,,,,,2
makroner,False,,,,,,,2
lakridssirup,False,,,,,,,2
stikkelsbær,False,,,,,,,2
wasabi,False,,,,,,,2
slik,False,,,,,,,2
tequila,False,,,,,,,2
tonic,False,,,,,,,2
tranebærjuice,False,,,,,,,2
bolchebeder,False,,,,,,,2
bomuldssnor,False,,,,,,,2
klementin,False,,,,,,,2
mango chutney,False,,,,,,,2
lage fra de syltede cornichoner,False,,,,,,,2
kyllingebouillon,False,,meat,,,,,2
lemon sodavand,False,,,,,,,2
kokosflager,False,,,,,,,2
cornflakes,False,,,,,,,2
iceberg,False,,,,,,,2
frisk pasta,False,,,,,,,2
mynte,True,g,short,15.0,100.0,,,1
pecorino,True,g,short,65.0,200.0,,70.0,1
hummus,True,g,short,20.0,200.0,,,1
falafelfars - klar til brug,True,g,short,25.0,350.0,,200.0,1
portobellosvampe,True,stk,short,23.0,2.0,,4.0,1
portobellosvampe,True,stk,long,23.0,2.0,,4.0,1
grøn karrypasta,True,g,long,,,,,1
vand til konsistensen er perfekt,True,stk,long,6.0,1.0,,,1
nigella frø,False,,,,,,,1
andelår,False,,,,,,,1
g,False,,,,,,,1
bakke grønne vindruer,False,,,,,,,1
grønne oliven,False,,,,,,,1
hyldebær,False,,,,,,,1
hvide bønner,False,,,,,,,1
tomatsalsa,False,,,,,,,1
gås,False,,,,,,,1
vand til at fylde bradepanden halvt op,False,,,,,,,1
kiks,False,,,,,,,1
passionsfrugt,False,,,,,,,1
andesteg eller gås,False,,,,,,,1
onglet,False,,,,,,,1
kyllinge skrog,False,,meat,,,,,1
kogt lun havregrød,False,,,,,,,1
salatløg,False,,,,,,,1
salatblade,False,,,,,,,1
couscous,False,,,,,,,1
ristet brød,False,,,,,,,1
citronsyre,False,,,,,,,1
persillerod,False,,,,,,,1
bearnaise,False,,,,,,,1
bygkerner,False,,,,,,,1
benfri sild,False,,,,,,,1
brød eller boller,False,,,,,,,1
whiskey,False,,,,,,,1
brøndkarse,False,,,,,,,1
stegesky/fond fra flæskestegen,False,,,,,,,1
acai pulver,False,,,,,,,1
gul peberfrugt,False,,,,,,,1
caviar,False,,,,,,,1
solbærsyltetøj,False,,,,,,,1
blodappelsin,False,,,,,,,1
hyben,False,,,,,,,1
små bolchestokke,False,,,,,,,1
bakke blåbær,False,,,,,,,1
smarties,False,,,,,,,1
hyldeblomst,False,,,,,,,1
toastbrød,False,,,,,,,1
bakke svampe,False,,,,,,,1
