ingredients,pareto,purchase_unit,type,price,purchase_size,salad_averaeg,veggie_average,count
marsala,False,,,,,,,1
lammekrone,False,,,,,,,1
lammekoteletter,False,,,,,,,1
lammeculotte,False,,,,,,,1
koldt vand (eller til konsistensen er perfekt),False,,,,,,,1
koldt vand + evt lidt ekstra,False,,,,,,,1
lage fra de råsyltede rabarber,False,,,,,,,1
koldt vand til glasur,False,,,,,,,1
kålpølse,False,,,,,,,1
kyllingevinger,False,,meat,,,,,1
kvæder,False,,,,,,,1
kulør,False,,,,,,,1
konfektforme,False,,,,,,,1
krabbeklør,False,,,,,,,1
macadamia nødder,False,,,,,,,1
knuste isterninger,False,,,,,,,1
eller en kanelstang,False,,,,,,,1
kogende saltet vand,False,,,,,,,1
emmermel,False,,,,,,,1
enebær,False,,,,,,,1
madeira,False,,,,,,,1
macaroni,False,,,,,,,1
kogevand fra kartofler og gulerødder,False,,,,,,,1
lunt vand,False,,,,,,,1
kokoscreme,False,,,,,,,1
limoncello,False,,,,,,,1
pasta muslingeskaller,False,,,,,,,1
pastasløjfer,False,,,,,,,1
coleslaw,False,,,,,,,1
comté,False,,,,,,,1
rørsukker,False,,,,,,,1
frisk torskerogn,False,,,,,,,1
ingefærsirup,False,,,,,,,1
instant kaffe,False,,,,,,,1
rød frugtfarve,False,,,,,,,1
korender,False,,,,,,,1
godt brød,False,,,,,,,1
brie,False,,,,,,,1
skinkekød i tern,False,,meat,,,,,1
sirup,False,,,,,,,1
sildefilet,False,,,,,,,1
råsyltede rabarber,False,,,,,,,1
puffede quinoa,False,,,,,,,1
prosecco,False,,,,,,,1
kalvebov,False,,,,,,,1
kalveschnitzel,False,,,,,,,1
perlebyg,False,,,,,,,1
frisk gurkemeje,False,,,,,,,1
morgenfrueblade (kan undlades),False,,,,,,,1
påskeæg,False,,,,,,,1
dorade fisk,False,,,,,,,1
isvafler,False,,,,,,,1
rugflager,False,,,,,,,1
rosmarinsirup,False,,,,,,,1
roastbeef,False,,,,,,,1
ristede løg,False,,,,,,,1
rismel,False,,,,,,,1
julesalat,False,,,,,,,1
rapsolie,False,,,,,,,1
coleslaw,False,,,,,,,1
comté,False,,,,,,,1
rørsukker,False,,,,,,,1
frisk torskerogn,False,,,,,,,1
ingefærsirup,False,,,,,,,1
instant kaffe,False,,,,,,,1
rød frugtfarve,False,,,,,,,1
korender,False,,,,,,,1
håndfulde baby spinat,False,,,,,,,1
godt brød,False,,,,,,,1
brie,False,,,,,,,1
skinkekød i tern,False,,meat,,,,,1
sirup,False,,,,,,,1
sildefilet,False,,,,,,,1
håndfulde isterninger,False,,,,,,,1
råsyltede rabarber,False,,,,,,,1
puffede quinoa,False,,,,,,,1
prosecco,False,,,,,,,1
kalvebov,False,,,,,,,1
kalveschnitzel,False,,,,,,,1
perlebyg,False,,,,,,,1
frisk gurkemeje,False,,,,,,,1
morgenfrueblade (kan undlades),False,,,,,,,1
påskeæg,False,,,,,,,1
dorade fisk,False,,,,,,,1
isvafler,False,,,,,,,1
rugflager,False,,,,,,,1
rosmarinsirup,False,,,,,,,1
roastbeef,False,,,,,,,1
ristede løg,False,,,,,,,1
rismel,False,,,,,,,1
julesalat,False,,,,,,,1
kageplast,False,,,,,,,1
rapsolie,False,,,,,,,1
