ingredients,urls,pareto,unit,spice,faktor,price,purchase_size
spidskål,38,True,stk,0.0,1.0,15.0,1.0
spidskål,38,True,stk,0.0,0.1,15.0,1.0
spinat,38,True,g,0.0,1.0,28.0,250.0
stængler bladselleri,38,True,stk,0.0,1.0,15.0,1.0
tomat,37,True,stk,0.0,1.0,24.0,10.0
tomat,37,True,stk,0.0,0.1,24.0,10.0
jordbær,36,True,g,0.0,1.0,50.0,400.0
jordbær,36,True,g,0.0,1000.0,50.0,400.0
øko appelsin,35,,,,,,
kokosmælk,33,True,ml,0.0,1.0,18.0,400.0
kokosmælk,33,True,ml,0.0,15.0,18.0,400.0
baby spinat,33,True,g,0.0,1.0,20.0,100.0
æggehvide,33,True,g,0.0,1.0,23.0,165.0
pinjekerner,33,True,g,0.0,1.0,24.0,50.0
pinjekerner,33,True,g,0.0,15.0,24.0,50.0
laurbærblade,32,True,,1.0,,,
glukosesirup,32,True,ml,0.0,1.0,18.0,400.0
glukosesirup,32,True,ml,0.0,15.0,18.0,400.0
glukosesirup,32,True,ml,0.0,10.0,18.0,400.0
glukosesirup,32,True,ml,0.0,5.0,18.0,400.0
muskatnød,32,True,,1.0,,,
broccoli,32,True,g,0.0,1.0,16.0,400.0
cayenne peber,32,True,stk,1.0,0.05,0.0,1.0
cayenne peber,32,True,stk,1.0,0.15,0.0,1.0
stødt nellike,31,True,stk,1.0,0.15,0.0,1.0
stødt nellike,31,True,stk,1.0,0.05,0.0,1.0
frisk rosmarin,30,False,,,,,
kyllingefilet,30,True,g,0.0,1.0,80.0,275.0
porre,29,True,stk,0.0,1.0,10.0,1.0
dåser hakkede tomater,29,,,,,,
kyllingebryst,29,True,g,0.0,1.0,80.0,250.0
valnødder,29,True,g,0.0,1.0,25.0,120.0
valnødder,29,True,g,0.0,15.0,25.0,120.0
sødmælk,29,True,ml,0.0,10.0,15.0,1000.0
sødmælk,29,True,ml,0.0,15.0,15.0,1000.0
sødmælk,29,True,ml,0.0,1.0,15.0,1000.0
chorizo,28,True,g,0.0,1.0,38.0,225.0
stængler frisk timian,28,,,,,,
blåbær,28,True,g,0.0,1.0,25.0,125.0
blåbær,28,True,g,0.0,10.0,25.0,125.0
blåbær,28,True,g,0.0,15.0,25.0,125.0
skiver brød,28,,,,,,
majsstivelse,28,True,g,0.0,1.0,35.0,250.0
majsstivelse,28,True,g,0.0,15.0,35.0,250.0
majsstivelse,28,True,g,0.0,5.0,35.0,250.0
solsikkekerner,28,True,g,0.0,1.0,11.0,250.0
solsikkekerner,28,True,g,0.0,15.0,11.0,250.0
solsikkekerner,28,True,g,0.0,10.0,11.0,250.0
peberkorn,27,True,,1.0,,,
rasp,25,True,g,0.0,10.0,23.0,500.0
rasp,25,True,g,0.0,1.0,23.0,500.0
rasp,25,True,g,0.0,15.0,23.0,500.0
