ingredients,pareto,purchase_unit,spice,price,purchase_size
krydderurter,True,,1.0,,
garam masala,True,,1.0,,
laksefilet,False,,,,
frisk salvie,True,,1.0,,
spsk,True,,1.0,,
muscovadosukker,False,,,,
granatæblekerner,False,,,,
nachos,True,g,0.0,20.0,450.0
isterninger,False,,,,
pankorasp,False,,,,
pistaciekerner uden salt,False,,,,
nougat,False,,,,
hvidløgspulver,False,,,,
håndfulde frisk koriander,True,,1.0,,
frisk estragon,False,,,,
frisk oregano,True,,1.0,,
grøn salat,True,g,0.0,20.0,200.0
kylling,False,,,,
drys muskatnød,True,,1.0,,
vodka,True,ml,0.0,100.0,750.0
-,True,,1.0,,
sød kondenseret mælk,False,,,,
stærk kaffe,False,,,,
stængler forårsløg,True,stk,0.0,14.0,4.0
stængel frisk rosmarin,True,,1.0,,
sorte bønner,True,g,0.0,6.0,400.0
chiafrø,False,,,,
citronsaft,False,,,,
cornichoner,False,,,,
fennikel,True,,1.0,,
bagekartoffel,True,g,0.0,12.0,1000.0
medjool dadler,False,,,,
salat,True,g,0.0,20.0,200.0
kidneybønner,True,g,0.0,8.0,400.0
kyllingebryst med skind,False,,,,
friske ærter,True,g,0.0,15.0,400.0
rødkål,False,,,,
røde linser,True,g,0.0,18.0,400.0
rød karrypasta,True,g,0.0,12.0,110.0
risotto ris,True,g,0.0,33.0,300.0
stuetempereret vand,False,,,,
perlesukker,False,,,,
feldsalat,False,,,,
majskolbe,True,stk,0.0,30.0,2.0
halloumi,True,g,0.0,35.0,250.0
hakket svinekød,False,,,,
durummel,True,g,0.0,45.0,1000.0
bakke karse,True,g,0.0,10.0,100.0
hoisin sauce,True,ml,0.0,33.0,200.0
stængel citrongræs,False,,,,
syltede rødbeder,True,g,0.0,13.0,400.0
fennikelfrø,True,g,0.0,26.0,25.0
hvide asparges,True,g,0.0,45.0,250.0
lakridsrodspulver,False,,,,
grødris,False,,,,
skumfiduser,False,,,,
kartofler,True,g,0.0,12.0,1000.0
ris,True,g,0.0,20.0,1000.0
oliven,True,g,0.0,35.0,190.0
peberrod,True,g,0.0,10.0,50.0
hyldeblomstsaft,False,,,,
pekannødder,False,,,,
ricotta,True,g,0.0,25.0,250.0
peanuts,True,g,0.0,20.0,200.0
nektarin,False,,,,
kardemommekapsler,False,,,,
varmrøget laks,False,,,,
ananas,False,,,,
sød kartoffel,True,g,0.0,18.0,1000.0
hakket kylling,False,,,,
tranebær,False,,,,
olivenolie salt,True,ml,0.0,160.0,1000.0
æblejuice,False,,,,
ærter,False,,,,
serranoskinke,False,,,,
svinemørbrad,False,,,,
pasta penne,True,g,0.0,30.0,250.0
laks,False,,,,
lys rom,False,,,,
ribs,False,,,,
sorte oliven,True,g,0.0,35.0,190.0
hønsebouillon,False,,,,
akaciehonning,True,g,0.0,40.0,250.0
hvidkål,False,,,,
løgpulver,False,,,,
hvidløgsflødeost,True,g,0.0,20.0,150.0
håndfulde frisk basilikum,True,stk,1.0,0.0,1.0
mandelmælk,False,,,,
ølandshvedemel,False,,,,
boghvedemel,False,,,,
blå birkes,False,,,,
frysetørret hindbær,False,,,,
blommetomater,True,stk,0.0,25.0,10.0
blommer,False,,,,
drys sesamfrø,False,,,,
blade herfra,False,,,,
granatæble,False,,,,
oksebouillon,False,,,,
edamamebønner,True,g,0.0,25.0,300.0
hvidtøl,False,,,,
sød chilisauce,False,,,,
thaibasilikum,False,,,,
remoulade,False,,,,
bønnespirer,True,g,0.0,12.0,150.0
tør hvidvin,False,,,,
hakket lammekød,False,,,,
håndfulde frisk dild,False,,,,
hjortetaksalt,False,,,,
rød balsamico,False,,,,
lakridsrod,False,,,,
rosiner,False,,,,
rispapir,False,,,,
pak choy,False,,,,
koldrøget laks,False,,,,
jordskokker,True,g,0.0,15.0,500.0
wienerpølser,False,,,,
håndfulde grøn salat,False,,,,
kokosolie,False,,,,
mascarpone,True,g,0.0,27.0,250.0
sorte oliven uden sten,False,,,,
bær,False,,,,
kantareller,True,g,0.0,52.0,20.0
oksebov,False,,,,
krymmel,False,,,,
hvidvinseddike,False,,,,
skyr,False,,,,
flutes,False,,,,
skiver ingefær,False,,,,
håndfulde bredbladet persille,False,,,,
citronsaft herfra,True,ml,0.0,37.0,500.0
skiver agurk,False,,,,
håndfulde persille,False,,,,
rød grapefrugt,False,,,,
hytteost,True,g,0.0,13.0,200.0
ananasjuice,True,ml,0.0,35.0,1000.0
hindbærmarmelade,False,,,,
svampe,True,g,0.0,30.0,200.0
five spice,False,,,,
grand marnier,False,,,,
tørret abrikos,False,,,,
teriyaki,True,,1.0,,
vannamei tigerrejer,False,,,,
ymer,False,,,,
lasagneplader,False,,,,
hampefrø,False,,,,
æblemost,False,,,,
kirsebær,False,,,,
kørvel,True,g,0.0,17.0,100.0
kyllingelår,False,,,,
linguine,True,g,0.0,30.0,250.0
rosenkål,False,,,,
fersken,False,,,,
ribsgele,False,,,,
espresso,False,,,,
